127.0.0.1 - - [27/Dec/2022:10:18:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:18:31 +0530] "GET /Task1/ HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:18:31 +0530] "GET /Task1/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:18:31 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:18:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:18:58 +0530] "POST /Task1/signup HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:20:10 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:20:10 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:20:29 +0530] "POST /Task1/signup HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:20:55 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:20:55 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:21:09 +0530] "POST /Task1/signup HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:21:09 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:21:40 +0530] "POST /Task1/login HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:32 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:32 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:32 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:32 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:33 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:33 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:33 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:33 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:33 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:33 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:34 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:34 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:35 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:35 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:35 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:35 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:59 +0530] "POST /Task1/signup HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:22:59 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:23:14 +0530] "POST /Task1/login HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:23:30 +0530] "POST /Task1/login HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:25:46 +0530] "GET /Task1/ HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:25:47 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:25:47 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:25:47 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:25:49 +0530] "GET /Task1/login.html HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:25:49 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:04 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:04 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
